Item,Category,Price,R1,R2,R3,R4,R5,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Momo,Starter,8.5,5,5,4,5,5,30,28,35,32,45,60,55
Chowmein,Main,10.0,4,5,4,4,4,20,22,18,25,35,40,38
Laphing,Starter,7.0,5,4,5,4,4,15,18,14,20,28,35,30
Thukpa,Main,12.0,4,4,4,5,4,12,15,10,14,22,30,25
Choila,Starter,14.0,5,5,4,5,5,10,12,8,11,18,25,20
Keema Noodles,Main,11.5,4,4,4,4,5,8,10,9,12,20,28,22
Achar,Starter,4.0,4,5,4,4,4,25,22,20,24,30,40,35
Sekuwa,Main,16.0,5,5,5,4,5,14,16,12,18,28,38,32
Sel Roti,Dessert,5.5,5,4,5,5,4,18,20,15,22,30,42,36
Dhido,Main,13.0,4,4,4,4,5,10,12,8,14,18,24,20
Thakali Set,Main,22.0,5,5,5,5,5,8,10,7,12,20,30,25
Chatamari,Starter,9.0,4,5,4,5,4,12,14,10,15,22,30,26
Sukuti,Starter,15.0,5,4,4,5,4,8,10,7,11,16,22,18
Chicken Chilli,Main,13.5,5,5,4,5,5,18,20,16,22,32,44,38
Samosa,Starter,5.0,4,4,5,4,4,20,22,18,24,30,38,32
